issue_number,filename,key,public_url,bytes,ms,status,error
25,Copy of BRJ-25-Jan-Mar 1999.pdf,pdfs/issues/issue-25.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-25.pdf,4034577,3513,ok,
33,Copy of BRJ-33-July-Sept 2001.pdf,pdfs/issues/issue-33.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-33.pdf,2794658,1740,ok,
36,Copy of BRJ-36-Winter 2003.pdf,pdfs/issues/issue-36.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-36.pdf,2928410,1157,ok,
30,Copy of BRJ-30-Apr-June 2000.pdf,pdfs/issues/issue-30.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-30.pdf,4670087,3382,ok,
31,Copy of BRJ-31-July-Sept 2000.pdf,pdfs/issues/issue-31.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-31.pdf,4590586,3415,ok,
39,Copy of BRJ-39-Autumn-Winter 2003-2004.pdf,pdfs/issues/issue-39.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-39.pdf,3061485,1291,ok,
35,Copy of BRJ-35-Autumn 2002.pdf,pdfs/issues/issue-35.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-35.pdf,2961182,2779,ok,
34,Copy of BRJ-34-Oct-Dec 2001.pdf,pdfs/issues/issue-34.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-34.pdf,2757244,3349,ok,
37,Copy of BRJ-37-Spring 2003.pdf,pdfs/issues/issue-37.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-37.pdf,3271697,3396,ok,
38,Copy of BRJ-38-Summer 2003.pdf,pdfs/issues/issue-38.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-38.pdf,3341205,3360,ok,
44,Copy of BRJ-44-Winter 2005.pdf,pdfs/issues/issue-44.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-44.pdf,2817702,1497,ok,
43,Copy of BRJ-43-Summer 2005.pdf,pdfs/issues/issue-43.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-43.pdf,2848945,1706,ok,
41,Copy of BRJ-41-Autumn 2004.pdf,pdfs/issues/issue-41.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-41.pdf,3074261,2881,ok,
40,Copy of BRJ-40-Spring 2004.pdf,pdfs/issues/issue-40.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-40.pdf,3165924,3297,ok,
45,Copy of BRJ-45-Summer 2006.pdf,pdfs/issues/issue-45.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-45.pdf,2971777,2508,ok,
48,Copy of BRJ-48-Winter 2008.pdf,pdfs/issues/issue-48.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-48.pdf,2981861,1435,ok,
42,Copy of BRJ-42-Spring 2005.pdf,pdfs/issues/issue-42.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-42.pdf,3236042,3355,ok,
51,Copy of BRJ-51-Autumn-Winter-2009.pdf,pdfs/issues/issue-51.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-51.pdf,2849644,1534,ok,
47,Copy of BRJ-47-Summer 2007.pdf,pdfs/issues/issue-47.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-47.pdf,2922864,2497,ok,
52,Copy of BRJ-52-Spring-Summer-2010.pdf,pdfs/issues/issue-52.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-52.pdf,2998965,1368,ok,
49,Copy of BRJ-49-Summer 2008.pdf,pdfs/issues/issue-49.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-49.pdf,3183799,2605,ok,
46,Copy of BRJ-46-Winter 2007.pdf,pdfs/issues/issue-46.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-46.pdf,2960322,2769,ok,
54,Copy of BRJ-54-Spring-Summer-2011.pdf,pdfs/issues/issue-54.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-54.pdf,2955147,2152,ok,
55,Copy of BRJ-55-Autumn-Winter-2011.pdf,pdfs/issues/issue-55.pdf,https://pub-011dc1a7faab4dbbafd9b3954e64f5f8.r2.dev/pdfs/issues/issue-55.pdf,2647948,1366,ok,
